date,open,high,low,close,volume
2018-12-28,35.05,35.36,34.5,34.86,26620.0
2018-12-27,35.44,35.66,35.0,35.05,29470.0
2018-12-26,36.06,36.1,34.82,35.11,30450.0
2018-12-25,36.18,36.36,35.0,36.13,49639.0
2018-12-24,35.2,36.96,34.65,36.9,46532.0
2018-12-21,35.84,36.18,34.55,35.1,39812.0
2018-12-20,35.1,35.95,34.2,35.62,49469.0
2018-12-19,35.57,36.4,34.88,35.34,56076.0
2018-12-18,35.19,35.85,34.81,35.27,49529.0
2018-12-17,36.0,36.1,34.85,35.36,53465.0
2018-12-14,35.5,36.68,35.31,35.99,76094.0
2018-12-13,35.26,36.48,35.0,35.63,68681.0
2018-12-12,33.5,35.32,33.45,35.24,93282.0
2018-12-11,32.0,33.5,31.72,33.33,65557.0
2018-12-10,31.68,32.4,31.56,32.17,44713.0
2018-12-07,31.18,32.09,31.18,31.88,41577.0
2018-12-06,31.7,31.77,31.05,31.09,24869.0
2018-12-05,31.31,32.07,31.31,31.78,29633.0
2018-12-04,31.57,31.98,31.39,31.92,30501.0
2018-12-03,31.6,32.17,31.15,31.7,55776.0
2018-11-30,30.35,30.83,30.23,30.83,16680.0
2018-11-29,30.72,31.05,30.27,30.35,21371.0
2018-11-28,30.1,30.7,30.07,30.65,18684.0
2018-11-27,30.28,30.37,30.03,30.18,12471.0
2018-11-26,30.0,30.39,30.0,30.15,19069.0
2018-11-23,30.88,30.9,29.77,29.97,32455.0
2018-11-22,30.88,31.25,30.58,30.85,22365.0
2018-11-21,30.35,30.99,30.35,30.85,21339.0
2018-11-20,32.26,32.26,30.87,31.03,47461.0
2018-11-19,32.85,32.85,32.2,32.35,40605.0
2018-11-16,32.48,32.9,31.98,32.87,30860.0
2018-11-15,32.3,32.61,32.13,32.39,21718.0
2018-11-14,32.8,32.9,32.17,32.28,27216.0
2018-11-13,32.42,33.16,32.22,32.95,30005.0
2018-11-12,32.69,33.28,32.46,32.97,25049.0
2018-11-09,32.9,32.9,32.04,32.69,25852.0
2018-11-08,33.25,33.37,32.52,32.67,25942.0
2018-11-07,33.04,33.35,32.8,32.95,25588.0
2018-11-06,32.92,33.15,32.29,32.88,19292.0
2018-11-05,32.55,33.21,32.48,32.92,36553.0
2018-11-02,31.67,32.97,31.62,32.75,54533.0
2018-11-01,30.76,31.67,30.4,31.23,60842.0
2018-10-31,29.07,30.35,29.07,30.2,63345.0
2018-10-30,28.79,29.48,28.4,29.09,61668.0
2018-10-29,29.93,29.93,28.52,28.69,61152.0
2018-10-26,30.99,31.36,30.02,30.2,31650.0
2018-10-25,30.6,30.79,30.1,30.7,35294.0
2018-10-24,31.9,32.08,30.91,31.38,30387.0
2018-10-23,33.29,33.29,31.69,31.9,41519.0
2018-10-22,32.35,34.0,32.28,33.0,66591.0
2018-10-19,30.18,31.99,30.05,31.9,36832.0
2018-10-18,31.31,31.31,30.05,30.63,42323.0
2018-10-17,31.62,31.9,30.52,31.35,26013.0
2018-10-16,31.6,32.35,31.2,31.35,29205.0
2018-10-15,32.05,32.96,31.52,32.05,37562.0
2018-10-12,32.6,32.9,31.3,32.05,42851.0
2018-10-11,32.5,34.27,32.3,32.76,60609.0
2018-10-10,33.08,33.75,33.08,33.69,42202.0
2018-10-09,33.65,33.95,32.46,32.98,41743.0
2018-10-08,33.9,34.4,33.66,33.82,40212.0
2018-09-28,34.73,35.27,34.46,34.77,41909.0
2018-09-27,35.3,35.3,34.6,34.7,36335.0
2018-09-26,34.28,35.8,34.2,35.35,67346.0
2018-09-25,33.72,34.4,33.6,34.39,31998.0
2018-09-21,33.65,34.45,33.46,34.25,60324.0
2018-09-20,33.79,33.96,33.21,33.45,44840.0
2018-09-19,32.2,34.16,32.02,33.86,87541.0
2018-09-18,31.08,32.51,30.88,32.29,56509.0
2018-09-17,31.62,31.79,31.08,31.15,47571.0
2018-09-14,32.18,32.4,31.5,32.23,44939.0
2018-09-13,32.2,32.48,31.32,32.0,34753.0
2018-09-12,32.02,32.4,31.83,31.9,35922.0
2018-09-11,33.07,33.09,32.01,32.12,46414.0
2018-09-10,33.24,33.29,32.59,33.06,20356.0
2018-09-07,32.94,33.5,32.66,33.18,35036.0
2018-09-06,33.77,33.99,32.6,33.1,46286.0
2018-09-05,34.4,34.41,33.92,34.07,26047.0
2018-09-04,34.28,34.49,33.67,34.41,28563.0
2018-09-03,34.2,34.45,33.86,34.37,27090.0
2018-08-31,34.88,34.88,34.01,34.2,36427.0
2018-08-30,35.04,35.21,34.76,34.99,40470.0
2018-08-29,35.85,35.85,34.6,34.99,71568.0
2018-08-28,36.58,36.68,36.02,36.31,38252.0
2018-08-27,36.1,36.79,35.41,36.5,63196.0
2018-08-24,35.47,36.0,35.05,35.69,37998.0
2018-08-23,34.79,35.66,34.7,35.2,41379.0
2018-08-22,35.5,35.8,34.58,34.66,39317.0
2018-08-21,35.29,35.84,35.04,35.5,66057.0
2018-08-20,35.98,36.1,34.34,35.07,52276.0
2018-08-17,36.45,36.65,35.8,36.13,34692.0
2018-08-16,36.35,36.96,35.84,36.23,54996.0
2018-08-15,38.8,38.9,37.0,37.11,43642.0
2018-08-14,38.71,39.49,38.48,38.67,26680.0
2018-08-13,38.9,38.9,37.8,38.7,38384.0
2018-08-10,38.7,39.7,38.7,39.15,29922.0
2018-08-09,37.31,39.26,37.31,38.74,52008.0
2018-08-08,38.8,38.88,37.57,37.59,52066.0
2018-08-07,38.08,38.89,37.47,38.84,67214.0
2018-08-06,39.19,39.3,37.2,38.0,70895.0
2018-08-03,42.6,42.7,39.01,39.21,67386.0
2018-08-02,42.772,42.772,40.456,42.109,44352.0
2018-08-01,43.921,44.456,42.456,42.772,41520.0
2018-07-31,44.852,44.921,43.663,43.921,26046.0
2018-07-30,45.06,45.297,43.96,44.713,27688.0
2018-07-27,45.99,46.089,44.258,44.743,31610.0
2018-07-26,45.396,46.426,45.386,45.663,38542.0
2018-07-25,46.228,46.228,45.347,45.564,29909.0
2018-07-24,45.96,46.436,45.069,46.04,49920.0
2018-07-23,46.96,46.97,45.564,45.96,38922.0
2018-07-20,46.149,47.574,45.941,47.069,50407.0
2018-07-19,47.287,47.327,46.05,46.307,36548.0
2018-07-18,45.208,47.525,44.96,47.178,88069.0
2018-07-17,45.495,45.495,43.951,45.149,35097.0
2018-07-16,46.208,46.624,44.555,45.366,39891.0
2018-07-13,45.96,46.337,45.149,46.06,38547.0
2018-07-12,43.772,45.762,43.772,45.733,58259.0
2018-07-11,43.456,44.426,42.654,44.069,38977.0
2018-07-10,44.02,44.555,43.366,44.218,41936.0
2018-07-09,41.416,44.04,41.386,43.911,70451.0
2018-07-06,43.357,43.357,40.297,41.772,76003.0
2018-07-05,42.852,43.911,42.099,43.228,50333.0
2018-07-04,43.762,43.861,42.574,43.119,39316.0
2018-07-03,43.96,44.545,42.921,43.941,46833.0
2018-07-02,43.812,45.04,43.327,43.97,69049.0
2018-06-29,42.168,44.109,41.782,43.396,88675.0
2018-06-28,43.168,43.584,41.149,41.604,64720.0
2018-06-27,44.951,45.485,43.069,43.753,75062.0
2018-06-26,45.644,46.188,44.535,44.951,65390.0
2018-06-25,45.941,46.852,45.564,46.277,76003.0
2018-06-22,44.059,45.703,43.891,45.525,58543.0
2018-06-21,45.327,46.178,44.307,44.525,74329.0
2018-06-20,43.861,45.386,43.564,45.02,83909.0
2018-06-19,45.545,46.02,42.574,43.861,92091.0
2018-06-15,48.069,48.287,45.347,46.02,112883.0
2018-06-14,47.386,49.04,47.386,48.079,109703.0
2018-06-13,48.456,48.475,47.089,47.129,78884.0
2018-06-12,47.495,48.485,47.03,48.248,114772.0
2018-06-11,48.683,49.208,46.475,47.416,125442.0
2018-06-08,49.386,49.941,47.604,48.703,102025.0
2018-06-07,50.396,50.406,49.069,49.426,92997.0
2018-06-06,50.495,51.0,49.505,50.505,115469.0
2018-06-05,50.357,50.812,49.723,50.743,83955.0
2018-06-04,49.96,51.099,49.386,50.228,96483.0
2018-06-01,52.357,53.06,48.614,49.96,130358.0
2018-05-31,53.06,54.406,52.109,52.446,134952.0
2018-05-30,52.485,53.832,50.0,52.693,94298.0
2018-05-29,53.465,56.317,53.0,53.317,133889.0
2018-05-28,51.931,56.416,51.931,55.832,136581.0
2018-05-25,50.753,52.654,50.248,51.881,115940.0
2018-05-24,50.802,51.089,49.515,50.0,70025.0
2018-05-23,51.802,52.228,50.644,50.812,54155.0
2018-05-22,51.485,52.693,51.129,51.99,50334.0
2018-05-21,51.357,51.96,50.297,51.901,66475.0
2018-05-18,50.505,51.673,49.871,51.347,65558.0
2018-05-17,51.485,51.485,50.258,50.881,65192.0
2018-05-16,50.446,53.05,49.951,51.614,138350.0
2018-05-15,48.812,51.366,48.069,51.0,98081.0
2018-05-14,48.456,50.228,47.921,49.01,80250.0
2018-05-11,48.456,49.01,47.663,48.505,63250.0
2018-05-10,48.614,50.297,47.723,48.644,94854.0
2018-05-09,48.218,48.782,47.703,48.525,83545.0
2018-05-08,47.505,48.535,47.04,48.258,128448.0
2018-05-07,42.475,46.782,42.456,46.782,151910.0
2018-05-04,40.99,42.753,40.99,42.525,71615.0
2018-05-03,41.535,41.911,40.861,41.555,45608.0
2018-05-02,40.584,41.673,40.218,41.634,65264.0
2018-04-27,40.515,41.188,39.069,40.287,64870.0
2018-04-26,42.446,42.743,40.119,40.515,86250.0
2018-04-25,43.555,43.555,42.238,42.762,53089.0
2018-04-24,42.564,43.753,42.277,42.911,67215.0
2018-04-23,41.347,43.069,41.089,42.317,61933.0
2018-04-20,42.505,43.218,41.297,41.347,49624.0
2018-04-19,41.465,42.753,40.96,42.505,66164.0
2018-04-18,42.396,42.812,40.594,41.485,66579.0
2018-04-17,43.307,43.515,41.871,42.307,50102.0
2018-04-16,42.376,44.258,42.168,43.277,81931.0
2018-04-13,43.178,43.812,41.861,42.119,52058.0
2018-04-12,43.287,44.208,42.951,43.178,49302.0
2018-04-11,42.614,44.01,42.327,43.307,85916.0
2018-04-10,41.564,42.812,40.852,42.663,66961.0
2018-04-09,41.287,42.574,40.673,41.564,61829.0
2018-04-04,42.099,43.04,41.277,42.069,82142.0
2018-04-03,39.951,41.802,39.852,41.654,78314.0
2018-04-02,39.802,41.574,39.802,40.426,59556.0
2018-03-30,39.604,40.446,39.366,40.03,54695.0
2018-03-29,38.782,39.693,37.654,39.594,57586.0
2018-03-28,39.406,39.485,38.337,38.772,65720.0
2018-03-27,39.951,40.386,39.347,40.238,62885.0
2018-03-26,37.317,39.941,37.129,39.812,58624.0
2018-03-23,37.297,38.426,36.683,37.663,69389.0
2018-03-22,39.287,39.951,38.654,39.04,49750.0
2018-03-21,39.951,40.782,39.069,39.287,50395.0
2018-03-20,39.604,40.089,39.337,39.861,37338.0
2018-03-19,39.852,40.456,39.198,40.089,45130.0
2018-03-16,40.822,41.297,39.624,39.861,68515.0
