name,ssd
601838:601939,334.38785783355416
600036:601998,334.4111133158768
600928:600016,334.4340782570787
600036:600015,334.4558785007331
601916:601328,334.5017016953315
600036:601939,334.5618449185048
000001:603323,334.57215330984934
601009:600016,334.57661241232876
600928:601398,334.638454764437
601009:601398,334.656607746988
002936:600908,334.78378803931963
002142:601998,334.7851251179018
601166:601658,334.83473715351687
002142:600015,334.8457717628166
002142:601939,334.8918279960992
601577:601229,334.92005602114546
601838:002958,334.9244740706034
600036:002958,335.03168317838106
601998:601328,335.03618982697446
002936:601988,335.0430307566047
600015:601328,335.0912644128383
601009:002948,335.2303385095275
600928:002948,335.26890453829526
603323:601288,335.27319506326995
601939:601328,335.2819046560517
601818:002807,335.29639970559305
601818:600926,335.3620225144723
601328:002958,335.36509026260404
000001:600016,335.37781757449295
601838:601229,335.42751826376866
000001:601398,335.55261264153785
601916:002807,335.57910655325503
600926:601916,335.5796703665186
600036:601229,335.5992129991225
002142:002958,335.6191427615698
601009:600928,335.87773409989893
002142:601229,335.9454597080363
601998:002807,336.10837808123057
000001:002948,336.1542364573522
600015:002807,336.1638036160665
600926:601998,336.1734196155773
601818:601658,336.2339846373112
601577:603323,336.23858654423657
600926:600015,336.2471240868321
600926:601939,336.30340083373073
601229:601328,336.3187716899559
601939:002807,336.3417984003521
601288:601398,336.3516913706242
600016:601288,336.3597087735392
002807:002958,336.51458383751606
601658:601916,336.51695363771387
601838:603323,336.75565399561145
000001:601009,336.77256834221225
600000:600908,336.7731317699664
601288:002948,336.9060796271894
600036:603323,336.9129787671551
600926:002958,336.97813200485206
600000:601988,337.0165966754801
601658:601998,337.0682123539217
000001:600928,337.08689522719266
601658:600015,337.1396589146794
601577:600016,337.20838228060944
600928:601288,337.2441680724065
601577:601398,337.2673940835648
601658:601939,337.29797961187
601169:600908,337.31299825303984
002142:603323,337.3143129656426
600926:601229,337.34516737989736
002807:601229,337.38868475001664
601009:601288,337.44257118706514
601658:002958,337.5004994516131
603323:601328,337.5816466251338
601169:601988,337.5968861004401
601838:600016,337.7021811019688
601838:601398,337.7929722983952
601577:002948,337.85714889223686
600036:600016,337.8832463940918
601166:600908,337.9595993821312
600036:601398,337.97989333321505
002142:600016,338.1895163105808
601166:601988,338.199143634448
000001:601288,338.2053040577797
002142:601398,338.316909877447
601658:601229,338.34105225610756
601838:002948,338.3677995462441
601009:601577,338.406142906383
601577:600928,338.41570420727885
600036:002948,338.52141853996164
601398:601328,338.65846709269175
600016:601328,338.66106850285536
603323:002807,338.6903528251709
600926:603323,338.6986518332273
002142:002948,338.9138388633395
601838:601009,338.9462530110285
601838:600928,339.02412369185896
600036:601009,339.13728868726776
600036:600928,339.1988931153914
002948:601328,339.2160382659888
000001:601577,339.3236701267724
601818:600908,339.4009426020146
002142:601009,339.4950378864452
600928:601328,339.57685234428243
601658:603323,339.61433313998805
600926:600016,339.61934430286584
002142:600928,339.640291044481
601818:601988,339.6526566217194
600908:601916,339.69906325035987
002807:601398,339.71791323359435
600016:002807,339.7207278588252
600926:601398,339.72963060232803
601009:601328,339.7552486340153
000001:601838,339.93005679026885
601916:601988,339.98035101789696
601577:601288,340.10083886066
000001:600036,340.13745259478424
601998:600908,340.23398412836104
600015:600908,340.296458300246
600926:002948,340.307769984358
002807:002948,340.3236419992794
601939:600908,340.4775852743457
601998:601988,340.5088909341908
000001:601328,340.5410895628642
601838:601288,340.57584474054585
002142:000001,340.5796009687335
600015:601988,340.5845546208865
600908:002958,340.6348155658145
601658:600016,340.66883689588894
601658:601398,340.69316196491195
600928:002807,340.6943976251246
601988:002958,340.7375914051601
600036:601288,340.7511040878818
601939:601988,340.797924363095
601009:002807,340.83695021775924
600926:601009,340.89769130424486
600926:600928,341.0148785995976
601860:002839,341.05574517184453
002142:601288,341.0574155517693
601658:002948,341.25112843435903
600908:601229,341.54094969715874
601838:601577,341.5667939088216
601288:601328,341.58829491524205
000001:002807,341.6448712769117
601658:600928,341.6571122758423
600036:601577,341.7295808146589
601009:601658,341.79157373273176
601229:601988,341.8506680112606
000001:600926,341.9415803854402
002142:601577,342.0995329512341
600036:601838,342.2982519979062
601577:601328,342.4251092399436
600926:601288,342.48518837792597
000001:601658,342.6244725295657
002807:601288,342.6558691565283
002142:601838,342.68172518534163
603323:600908,342.837836174352
002142:600036,342.8750270705763
601838:601328,342.912168480327
600036:601328,343.0825242858462
603323:601988,343.08513607157613
002142:601328,343.3999665562666
601577:002807,343.51778041836747
600926:601577,343.52262813632797
601658:601288,343.60009926411493
600908:601398,343.86994818435284
600016:600908,343.88300330553443
601838:002807,343.9961632148275
601838:600926,344.1091555745039
600036:002807,344.14963775315306
601398:601988,344.1866143684529
600016:601988,344.22692781719854
600036:600926,344.27740050181933
601658:601577,344.47068685814776
002839:601077,344.4760093911811
600908:002948,344.4874872121557
002142:002807,344.50339998321067
002142:600926,344.6954958420357
002948:601988,344.7491634678871
600928:600908,344.7983372501543
600926:601328,344.8417636509882
600928:601988,344.9670315759316
601838:601658,344.9785797631742
002807:601328,344.9799177368214
601009:600908,344.98342571887093
600036:601658,345.1443785221548
601009:601988,345.2628075211971
002142:601658,345.4921098805118
000001:600908,345.77146005742935
601658:601328,345.93181194813207
600926:002807,345.93265350351527
000001:601988,345.9805801582261
600908:601288,346.848201034902
600926:601658,346.9325728949214
601658:002807,347.01036858329337
601288:601988,347.2047406020519
601577:600908,347.6992338857894
601577:601988,347.98991206683826
601838:600908,348.17435144873605
600036:600908,348.3143047130237
601838:601988,348.45615638901126
600036:601988,348.61225681967943
002142:600908,348.6839965672576
601997:002839,348.82647449547306
002142:601988,348.9254827144146
600908:601328,349.18670689828656
601988:601328,349.5363278661081
600926:600908,350.12372603653694
600908:002807,350.30586457944565
600926:601988,350.39197415723623
002807:601988,350.6171525010515
600919:002839,351.15261157082983
601658:600908,351.2301438744214
601658:601988,351.57782694574644
002966:601860,352.61636855038137
002839:002936,353.1779385510838
600908:601988,354.8813953658701
600000:002839,355.1669765562714
601169:002839,355.75623893804584
002966:601077,356.1685360915286
601166:002839,356.32074965539834
601818:002839,357.8735085441656
002839:601916,358.24501237280856
002839:601998,358.7449256614582
600015:002839,358.8306688978198
002839:002958,358.9861972576524
601939:002839,359.0619891861695
002839:601229,360.1494171834255
601997:002966,360.5608206186094
603323:002839,361.5112269789901
002839:601398,362.5077255872676
600016:002839,362.5960189347362
600919:002966,362.82883686340074
002839:002948,363.1972618476258
600928:002839,363.27678476570486
601009:002839,363.61247632987903
000001:002839,364.295382742868
002966:002936,364.80111143659883
002839:601288,365.6835781778
601577:002839,366.467546254871
601838:002839,366.88347508418605
002966:600000,366.92939789554737
600036:002839,366.98599574601366
002142:002839,367.38572324562045
002966:601169,367.4310300182991
002839:601328,368.0779778803799
601166:002966,368.21111811592044
600926:002839,368.84454915950937
002839:002807,369.27493398042327
601818:002966,369.64510251568555
002966:601916,369.90806164620216
601658:002839,370.1637174657156
002966:601998,370.48532862123056
002966:600015,370.55676841847014
002966:601939,370.64064131015033
002966:002958,371.32115748388185
002966:601229,371.7869160840164
002966:603323,373.2353346376932
002839:600908,373.66005363290844
002839:601988,373.98167879700077
002966:600016,374.1327791538103
002966:601398,374.20404457917357
002966:002948,374.9402525248476
601009:002966,375.44895131084763
002966:600928,375.505655574613
000001:002966,376.46934400100656
002966:601288,377.21294852005076
002966:601577,378.249444900465
601838:002966,378.79538926341013
600036:002966,378.9211032044968
002142:002966,379.403315035929
002966:601328,379.6638621499324
600926:002966,380.8721644464024
002966:002807,380.8851200903204
002966:601658,381.8443874006422
002966:600908,385.3222404983622
002966:601988,385.55072486398205
002966:002839,405.14140904243374
